#{"t_start": 1619639321.4731548, "env_id": "seir-v0"}
r,l,t
-0.189791,25,4.259864
-0.229564,25,5.445837
-0.239987,25,6.689998
-0.224383,25,7.973512
-0.45669,25,9.14551
-0.242073,25,10.446495
-0.344588,25,11.591493
-0.250367,25,12.909493
-0.243964,25,14.068533
-0.539583,25,15.404941
-0.251042,25,16.617951
-0.314514,25,17.856908
-0.15722,25,19.230298
-0.32939,25,20.393268
-0.281123,25,21.737269
-0.280331,25,22.905284
-0.268294,25,24.297801
-0.371306,25,25.443801
-0.236255,25,26.74283
-0.212305,25,27.90483
-0.15934,25,29.219926
-0.273202,25,30.372966
-0.446554,25,31.639929
-0.310909,25,32.827929
-0.298824,25,34.123966
-0.314876,25,35.455782
-0.248121,25,36.772815
-0.421452,25,37.969814
-0.137857,25,39.318782
-0.291049,25,40.520784
-0.366565,25,41.773815
-0.229484,25,42.954817
-0.261783,25,44.126833
-0.241873,25,45.396814
-0.224447,25,46.615782
-0.380166,25,47.873814
-0.283914,25,49.106782
-0.255203,25,50.354781
-0.240147,25,51.558815
-0.226145,25,52.799782
-0.292451,25,55.13933
-0.307095,25,56.423361
-0.230487,25,57.609361
-0.258657,25,58.860327
-0.27486,25,60.121364
-0.289584,25,61.372328
-0.258108,25,62.555327
-0.162636,25,63.777357
-0.245701,25,65.018331
-0.166735,25,66.19036
-0.35641,25,67.372328
-0.35138,25,68.612369
-0.292142,25,69.81633
-0.266311,25,71.074327
-0.319675,25,72.27036
-0.610272,25,73.539362
-0.499988,25,74.75633
-0.168361,25,75.96433
-0.153921,25,77.152327
-0.283311,25,78.415361
-0.235141,25,79.58233
-0.276721,25,80.881365
-0.250916,25,82.056371
-0.202501,25,83.245327
-0.251498,25,84.48436
-0.342616,25,85.685359
-0.363842,25,86.923359
-0.235639,25,88.117328
-0.381248,25,89.354327
-0.244636,25,90.55536
-0.230857,25,91.80336
-0.195656,25,92.95533
-0.202242,25,94.192359
-0.240783,25,95.388364
-0.270192,25,96.636361
-0.435749,25,97.81636
-0.377374,25,99.056328
-0.367792,25,100.222353
-0.258568,25,101.459373
-0.195592,25,102.64533
-0.255693,25,104.728829
-0.402856,25,108.202237
-0.231212,25,109.39227
-0.194998,25,110.924237
-0.288131,25,112.374238
-0.318347,25,113.869237
-0.182208,25,115.349274
-0.210932,25,116.644244
-0.470548,25,117.861269
-0.343376,25,119.091274
-0.226721,25,120.258267
-0.542271,25,121.515237
-0.430234,25,122.698276
-0.18535,25,123.959269
-0.114815,25,125.492238
-0.206916,25,126.716269
-0.261666,25,127.91227
-0.105349,25,129.160236
-0.160843,25,130.42724
-0.133847,25,131.654269
-0.319769,25,132.985239
-0.275916,25,134.277239
-0.152849,25,135.423237
-0.209224,25,136.658237
-0.090153,25,137.811239
-0.381988,25,139.073257
-0.125305,25,140.232239
-0.214802,25,141.470266
-0.344557,25,142.671269
-0.221805,25,143.914269
-0.373354,25,145.089288
-0.195422,25,146.270238
-0.161316,25,147.509269
-0.342017,25,148.678237
-0.152881,25,149.91627
-0.16369,25,151.103266
-0.192575,25,152.343266
-0.155601,25,153.543239
-0.252031,25,154.80027
-0.070897,25,155.962237
-0.329501,25,158.962322
-0.181008,25,160.164327
-0.21602,25,161.500312
-0.204876,25,162.708313
-0.429899,25,163.977316
-0.437603,25,165.197283
-0.229446,25,166.446283
-0.224013,25,167.641314
-0.209012,25,168.889283
-0.353884,25,170.080326
-0.086547,25,171.336324
-0.10582,25,172.525284
-0.270219,25,173.708315
-0.162482,25,174.985282
-0.214358,25,176.189316
-0.329067,25,177.436334
-0.346063,25,178.616315
-0.137247,25,179.862317
-0.23306,25,181.126284
-0.146415,25,182.509282
-0.462645,25,183.697306
-0.304391,25,184.933315
-0.306835,25,186.126282
-0.224644,25,187.361321
-0.139701,25,188.614318
-0.158648,25,189.817319
-0.226875,25,191.090284
-0.289635,25,192.363314
-0.165636,25,193.599287
-0.158283,25,194.785316
-0.283914,25,195.972313
-0.20089,25,197.232315
-0.407783,25,198.420316
-0.131343,25,199.658315
-0.384764,25,200.829313
-0.317542,25,202.07332
-0.247521,25,203.282316
-0.279945,25,204.550283
-0.214888,25,205.707286
-0.522795,25,206.961285
-0.125781,25,210.289775
-0.14169,25,211.500806
-0.205213,25,212.729774
-0.203616,25,219.565257
-0.365231,25,220.799289
-0.21949,25,221.975292
-0.07496,25,223.231271
-0.496423,25,224.41929
-0.149819,25,225.680293
-0.157668,25,226.86129
-0.081885,25,228.096294
-0.219963,25,229.27229
-0.085093,25,230.534289
-0.078326,25,231.728293
-0.171816,25,232.980286
-0.266972,25,234.187258
-0.131558,25,235.454289
-0.165961,25,236.64529
-0.276111,25,237.916289
-0.293062,25,239.11026
-0.393713,25,240.355296
-0.2972,25,241.581298
-0.279075,25,242.769259
-0.44127,25,244.016289
-0.320829,25,245.2143
-0.279179,25,246.48226
-0.170661,25,247.66529
-0.106547,25,248.899056
-0.276902,25,250.200612
-0.317432,25,251.440003
-0.213442,25,252.65102
-0.507463,25,253.90548
-0.214702,25,255.120269
-0.144581,25,256.412478
-0.450491,25,257.727178
-0.096215,25,258.906732
-0.122364,25,260.119678
-0.330012,25,261.337879
-0.145619,25,262.60226
-0.224943,25,263.811913
-0.204252,25,266.489608
-0.125816,25,267.759821
-0.335536,25,268.993546
-0.130592,25,270.258994
-0.212336,25,271.501621
-0.097756,25,272.779172
-0.212855,25,273.987486
-0.103921,25,275.227559
-0.105306,25,276.450358
-0.1102,25,277.741537
-0.403306,25,278.980414
-0.16802,25,280.173496
-0.083393,25,281.433087
-0.077225,25,282.648399
-0.163667,25,283.88411
-0.333473,25,285.134083
-0.320863,25,286.373134
-0.106712,25,287.568349
-0.298806,25,288.821571
-0.31943,25,290.046468
-0.164019,25,291.299823
-0.34215,25,292.491595
-0.112448,25,293.807294
-0.194592,25,295.032397
-0.112438,25,296.309083
-0.366105,25,297.510897
-0.132044,25,298.759661
-0.367658,25,299.960023
-0.282761,25,301.251204
-0.109554,25,302.434237
-0.164872,25,303.695244
-0.335123,25,304.891237
-0.103487,25,306.066237
-0.296742,25,307.31624
-0.177022,25,308.490244
-0.217598,25,309.733204
-0.265475,25,310.892207
-0.22944,25,312.159259
-0.206877,25,313.346267
-0.127469,25,314.598208
-0.153416,25,317.53959
-0.371499,25,318.781578
-0.152985,25,319.96659
-0.11441,25,321.223598
-0.240687,25,322.472584
-0.107697,25,329.489582
-0.118418,25,330.684578
-0.393053,25,331.94759
-0.193403,25,333.191551
-0.136601,25,334.393594
-0.395153,25,335.595546
-0.164219,25,336.835551
-0.062647,25,338.03158
-0.510527,25,339.288548
-0.170975,25,340.462546
-0.495727,25,341.70259
-0.03882,25,342.88559
-0.172497,25,344.15658
-0.24875,25,345.35058
-0.059795,25,346.634548
-0.286099,25,347.814557
-0.185262,25,348.996579
-0.080692,25,350.235576
-0.078317,25,351.405579
-0.08215,25,352.650579
-0.373809,25,353.847589
-0.084115,25,355.095579
-0.156009,25,356.29358
-0.148669,25,357.551586
-0.120875,25,358.749581
-0.081755,25,360.013547
-0.166555,25,361.202549
-0.133658,25,362.472546
-0.145683,25,363.654591
-0.068977,25,364.926605
-0.458377,25,366.108581
-0.117052,25,367.346547
-0.12441,25,368.52355
-0.202951,25,369.77858
-0.083725,25,370.966584
-0.140884,25,373.832349
-0.203989,25,375.025346
-0.246478,25,376.20935
-0.11084,25,377.44435
-0.108415,25,378.625349
-0.111266,25,379.86936
-0.089228,25,381.035316
-0.274549,25,382.250356
-0.123566,25,383.408317
-0.142303,25,384.643317
-0.090914,25,385.80835
-0.332746,25,387.029346
