#{"t_start": 1619706940.9093354, "env_id": "seir-v0"}
r,l,t
-0.142017,25,2.38919
-0.178946,25,4.383192
-0.174923,25,6.17819
-0.266178,25,7.786193
-0.383819,25,9.54319
-0.416882,25,11.210191
-0.170952,25,12.951192
-0.151324,25,14.595217
-0.212292,25,16.39019
-0.152842,25,18.070221
-0.212876,25,19.806189
-0.137572,25,21.430192
-0.14658,25,23.24222
-0.17066,25,24.955189
-0.247779,25,26.888708
-0.201596,25,28.541635
-0.216597,25,30.35204
-0.198224,25,32.126042
-0.227105,25,34.012042
-0.359228,25,35.78704
-0.489809,25,37.571072
-0.087763,25,39.176043
-0.144862,25,41.009042
-0.201137,25,42.769042
-0.197062,25,44.417043
-0.419451,25,46.14704
-0.093252,25,47.957041
-0.327668,25,49.887044
-0.216801,25,51.568043
-0.20103,25,53.361045
-0.182073,25,55.089042
-0.445785,25,56.846044
-0.159506,25,58.605044
-0.189016,25,60.375071
-0.18652,25,62.035043
-0.264182,25,63.874069
-0.153818,25,65.520076
-0.185307,25,67.212039
-0.109951,25,68.87807
-0.193578,25,70.395041
-0.170171,25,71.896041
-0.56334,25,73.566044
-0.189957,25,75.563043
-0.462863,25,77.74704
-0.567028,25,79.7164
-0.202368,25,81.569398
-0.205947,25,83.275402
-0.255421,25,85.002398
-0.347247,25,86.825401
-0.340462,25,88.563432
-0.305455,25,90.110398
-0.298093,25,91.605429
-0.231438,25,93.409403
-0.215613,25,95.094398
-0.20549,25,96.872398
-0.502437,25,98.644402
-0.289077,25,100.394435
-0.42013,25,102.101397
-0.257681,25,103.912397
-0.334149,25,105.655398
-0.193912,25,107.475426
-0.146083,25,109.307429
-0.407409,25,111.198403
-0.191389,25,113.024398
-0.107047,25,114.827399
-0.469064,25,116.502429
-0.131794,25,118.383428
-0.197538,25,120.143399
-0.442716,25,121.933428
-0.215022,25,123.6434
-0.272049,25,125.463398
-0.199901,25,127.167435
-0.171995,25,128.9604
-0.588333,25,130.684401
-0.240764,25,132.417402
-0.44946,25,134.248398
-0.151018,25,135.985402
-0.095462,25,137.7684
-0.276148,25,139.548399
-0.435667,25,141.465398
-0.260671,25,143.258399
-0.187526,25,149.787401
-0.289438,25,151.387399
-0.373908,25,153.145399
-0.232396,25,154.941401
-0.371066,25,156.786406
-0.081031,25,158.490444
-0.176214,25,160.238437
-0.192085,25,162.019401
-0.183693,25,163.85743
-0.309361,25,165.477398
-0.110193,25,167.176398
-0.234682,25,168.84043
-0.174694,25,170.586427
-0.119808,25,172.372397
-0.377179,25,174.117439
-0.154845,25,175.611398
-0.130865,25,177.419401
-0.164762,25,179.0614
-0.292673,25,180.578666
-0.224609,25,182.449667
-0.232155,25,184.174665
-0.328469,25,185.948694
-0.414925,25,187.516665
-0.498539,25,189.326669
-0.113354,25,191.128666
-0.154188,25,192.866666
-0.144963,25,194.572668
-0.089497,25,196.290669
-0.377994,25,197.953695
-0.209313,25,199.699665
-0.115996,25,201.422669
-0.339532,25,203.067665
-0.191953,25,204.780688
-0.174109,25,206.617668
-0.188415,25,208.330669
-0.135207,25,210.166669
-0.119101,25,211.911364
-0.147811,25,213.859324
-0.138217,25,215.789326
-0.20366,25,217.634327
-0.388736,25,219.21733
-0.089161,25,220.718328
-0.175397,25,222.464333
-0.255864,25,224.29733
-0.073929,25,226.108328
-0.207049,25,227.855327
-0.180563,25,229.872326
-0.050742,25,231.899324
-0.105991,25,233.541327
-0.228018,25,235.044324
-0.19003,25,236.849324
-0.154225,25,238.620354
-0.243969,25,240.570327
-0.206511,25,242.516328
-0.225905,25,244.22733
-0.459158,25,245.929325
-0.140188,25,247.548325
-0.157541,25,249.144327
-0.301194,25,250.992327
-0.174029,25,252.706324
-0.30064,25,254.324327
-0.173761,25,255.964366
-0.059973,25,257.496325
-0.127691,25,258.893325
-0.289805,25,260.522354
-0.125346,25,262.215325
-0.103046,25,264.009325
-0.086296,25,265.822355
-0.112057,25,267.427324
-0.18022,25,269.076355
-0.271231,25,270.560324
-0.550833,25,272.186325
-0.124487,25,273.722355
-0.210918,25,275.304327
-0.442998,25,276.887325
-0.138041,25,278.322326
-0.249536,25,279.759325
-0.241119,25,281.196353
-0.179852,25,282.623326
-0.069869,25,284.287327
-0.347271,25,285.876326
-0.125889,25,287.489327
-0.193927,25,293.500327
-0.253589,25,295.055327
-0.12786,25,296.824327
-0.06915,25,299.107327
-0.274552,25,300.846327
-0.068946,25,302.913327
-0.226501,25,304.649325
-0.098286,25,306.445328
-0.204244,25,308.643343
-0.082118,25,310.575479
-0.093696,25,312.271479
-0.105266,25,314.106477
-0.299943,25,315.64548
-0.164276,25,317.308479
-0.105606,25,319.239478
-0.10548,25,320.832476
-0.052875,25,322.692482
-0.116856,25,324.989478
-0.602489,25,327.31648
-0.106147,25,329.552479
-0.086585,25,331.945768
-0.490179,25,333.745411
-0.089485,25,335.42441
-0.347066,25,336.964409
-0.090512,25,338.504927
-0.13706,25,340.057956
-0.126681,25,341.785925
-0.09089,25,343.325925
-0.089198,25,345.238927
-0.161479,25,346.829926
-0.298907,25,348.638798
-0.141918,25,350.341448
-0.142653,25,351.998449
-0.593922,25,353.648449
-0.056481,25,355.310449
-0.106184,25,356.961446
-0.310046,25,358.728447
-0.095166,25,360.573477
-0.401634,25,362.390447
-0.116388,25,364.144447
-0.05871,25,365.781447
-0.352679,25,367.517446
-0.108194,25,369.322449
-0.297492,25,371.266447
-0.127827,25,373.297447
-0.129437,25,375.486447
-0.059711,25,377.256449
-0.083009,25,379.103447
-0.397566,25,381.139447
-0.159708,25,383.082448
-0.127791,25,384.863446
-0.198855,25,386.755447
-0.144288,25,388.54345
-0.054797,25,390.367446
-0.071603,25,392.170478
-0.048969,25,393.986446
-0.412032,25,395.657478
-0.153353,25,397.414447
-0.294662,25,399.142448
-0.037122,25,400.859448
-0.131024,25,402.46545
-0.167955,25,404.179467
-0.072657,25,406.215446
-0.173328,25,408.130448
-0.079062,25,409.919447
-0.189872,25,411.688447
-0.036341,25,413.489465
-0.057222,25,415.06245
-0.158704,25,416.983446
-0.095344,25,418.671448
-0.057265,25,420.444447
-0.05365,25,422.386976
-0.422027,25,424.083968
-0.109378,25,425.626973
-0.062483,25,427.219997
-0.13122,25,428.775999
-0.467363,25,430.434969
-0.094896,25,432.010014
-0.092448,25,433.803972
-0.235976,25,435.51797
-0.114183,25,437.202972
-0.12746,25,438.838969
-0.087015,25,445.260971
-0.047926,25,446.990001
-0.046609,25,448.685969
-0.204065,25,450.435971
-0.110836,25,451.98197
-0.054391,25,453.618972
-0.342595,25,455.330999
-0.088785,25,457.00797
-0.234722,25,458.616968
-0.160158,25,460.309969
-0.100634,25,461.912971
-0.187298,25,463.74597
-0.210779,25,465.271969
-0.324626,25,467.076974
-0.300355,25,468.781
-0.40725,25,470.482973
-0.033399,25,472.295971
-0.178018,25,474.004969
-0.112473,25,475.572969
-0.240282,25,477.258971
-0.159671,25,478.975968
-0.056612,25,480.671969
-0.229659,25,482.289971
-0.392347,25,484.083971
-0.219185,25,485.893971
-0.343267,25,487.718969
-0.048728,25,489.482971
-0.039807,25,491.215968
-0.40997,25,492.95497
-0.190128,25,494.56197
-0.06891,25,496.172972
-0.07063,25,497.813968
-0.070675,25,499.49297
-0.227956,25,501.100969
-0.034589,25,503.308971
-0.199619,25,505.578969
-0.051444,25,507.845971
-0.115226,25,509.955968
-0.071508,25,512.156968
-0.247011,25,514.174969
-0.215134,25,516.106014
-0.129421,25,518.222971
-0.573174,25,520.395969
-0.08468,25,521.996972
-0.203745,25,523.590969
-0.214671,25,525.253968
-0.232538,25,526.881968
-0.083216,25,528.499
-0.094646,25,530.229972
-0.056297,25,532.043
-0.048294,25,533.830997
-0.03731,25,535.425968
-0.297425,25,537.117971
-0.02775,25,538.686
-0.356956,25,540.348009
-0.082695,25,542.314972
-0.289814,25,544.02097
-0.128934,25,545.612971
-0.052531,25,547.289973
-0.413392,25,548.890999
-0.400374,25,550.549974
-0.081531,25,552.36697
-0.379072,25,554.064
-0.023438,25,555.77197
-0.038876,25,557.478968
-0.056552,25,559.172971
-0.05114,25,560.784999
-0.111995,25,562.399
-0.169055,25,563.952517
-0.344106,25,565.684509
-0.219674,25,567.259479
-0.068315,25,569.022481
-0.036357,25,570.746483
-0.196411,25,572.704483
-0.136687,25,574.336482
-0.067671,25,576.277509
-0.130213,25,577.828481
-0.070197,25,579.47748
-0.031494,25,581.065479
-0.146448,25,582.723484
-0.055373,25,584.383509
-0.094321,25,586.052481
-0.393123,25,592.67448
-0.241257,25,594.262479
-0.340645,25,595.861481
-0.137764,25,597.38951
-0.020817,25,599.171482
-0.206893,25,600.803483
-0.041385,25,602.713511
-0.025455,25,604.445479
-0.039443,25,606.25951
-0.035708,25,607.881513
-0.315865,25,609.619481
-0.033779,25,611.24947
-0.018254,25,613.167467
-0.15114,25,614.931383
-0.181988,25,616.732517
-0.018632,25,618.497523
-0.077661,25,620.16756
-0.048305,25,621.864517
-0.233157,25,623.707519
-0.085579,25,625.513516
-0.117206,25,627.328517
-0.039793,25,628.81552
-0.216045,25,630.515517
-0.122243,25,632.263517
-0.241733,25,633.887547
-0.154822,25,635.727519
-0.133628,25,637.520519
-0.098295,25,639.258519
-0.330671,25,640.987549
-0.058372,25,642.705517
-0.108251,25,644.342548
-0.152934,25,646.132519
-0.131446,25,647.99952
-0.055546,25,649.974517
-0.170868,25,651.890519
-0.378789,25,653.615545
-0.027209,25,655.172558
-0.278209,25,656.971519
-0.095241,25,658.88852
-0.078699,25,660.793517
-0.083554,25,662.545517
-0.265579,25,664.367558
-0.042004,25,665.947547
-0.052641,25,667.584519
-0.117945,25,669.338619
-0.095108,25,671.373822
-0.03382,25,673.129618
-0.038864,25,675.137617
-0.198423,25,676.869616
-0.098617,25,678.524617
-0.029398,25,680.671617
-0.057297,25,682.697618
-0.202407,25,684.86181
-0.140299,25,686.768968
-0.185393,25,688.680908
-0.162915,25,690.708798
-0.053235,25,692.828353
-0.205275,25,694.646734
-0.271796,25,696.364069
-0.213751,25,698.014639
-0.04839,25,699.825855
-0.027433,25,701.475981
-0.126762,25,703.332779
-0.186832,25,704.914635
-0.278005,25,706.578015
-0.087999,25,708.238742
-0.041183,25,709.810147
-0.042166,25,711.454963
-0.046423,25,713.395645
-0.046624,25,715.180746
-0.080553,25,717.022198
-0.130971,25,718.786991
-0.088547,25,720.428494
-0.040796,25,722.770927
-0.047147,25,724.283711
-0.064669,25,725.969444
-0.08254,25,727.590045
-0.055517,25,729.599975
-0.192969,25,731.24883
-0.066721,25,733.177579
-0.057938,25,734.962693
-0.103955,25,736.736822
