#{"t_start": 1620185884.5904336, "env_id": "seir-cd-v0"}
r,l,t
-0.142166,25,2.068914
-0.178952,25,3.868547
-0.175083,25,5.64309
-0.26747,25,7.589945
-0.386509,25,9.160522
-0.427927,25,10.754221
-0.171071,25,12.269209
-0.151382,25,13.743445
-0.212383,25,15.163903
-0.153176,25,16.693625
-0.213317,25,18.260753
-0.137656,25,19.700004
-0.146591,25,21.281025
-0.170662,25,22.724766
-0.24855,25,24.268476
-0.201626,25,25.844298
-0.217146,25,27.364589
-0.198278,25,28.964123
-0.227644,25,30.58797
-0.359549,25,32.072
-0.493455,25,33.68597
-0.087766,25,35.328969
-0.144977,25,36.767969
-0.201561,25,38.44197
-0.197389,25,39.98697
-0.420834,25,41.498971
-0.093265,25,43.04397
-0.328103,25,44.708969
-0.217201,25,46.33697
-0.201322,25,47.882971
-0.182365,25,49.359969
-0.445944,25,51.042969
-0.15973,25,52.67997
-0.189359,25,54.311969
-0.186562,25,56.131971
-0.264558,25,57.96297
-0.153871,25,59.583971
-0.185916,25,61.37097
-0.109955,25,62.893969
-0.194275,25,64.504971
-0.170177,25,66.089973
-0.56765,25,67.82697
-0.190008,25,69.39897
-0.485963,25,71.04997
-0.568874,25,72.663971
-0.205295,25,74.280971
-0.205947,25,75.76097
-0.259008,25,77.352968
-0.351678,25,78.929971
-0.341289,25,80.473969
-0.308468,25,82.09897
-0.299286,25,83.740969
-0.232296,25,85.341969
-0.216837,25,86.842969
-0.205502,25,88.467969
-0.510548,25,90.034971
-0.289078,25,91.61497
-0.427212,25,93.132969
-0.257733,25,94.677975
-0.34783,25,96.20397
-0.193973,25,97.858969
-0.146085,25,99.520969
-0.41182,25,101.144971
-0.198165,25,102.617969
-0.107064,25,104.312969
-0.480299,25,105.914969
-0.132358,25,107.526968
-0.19762,25,109.15597
-0.447504,25,110.837971
-0.216566,25,112.414972
-0.273932,25,114.031969
-0.200056,25,115.54397
-0.172452,25,117.104971
-0.590884,25,118.75197
-0.242414,25,120.325973
-0.457748,25,122.018969
-0.151271,25,123.633969
-0.095464,25,125.429969
-0.276888,25,127.04697
-0.440545,25,128.66497
-0.260968,25,130.112969
-0.187726,25,136.119969
-0.292729,25,137.60397
-0.37986,25,139.129969
-0.234928,25,140.69497
-0.397462,25,142.39997
-0.081041,25,144.069973
-0.177005,25,145.746971
-0.192532,25,147.31597
-0.184197,25,149.10397
-0.310459,25,150.643969
-0.110963,25,152.305968
-0.236891,25,153.911971
-0.174854,25,155.53997
-0.119846,25,157.133969
-0.378718,25,158.77497
-0.155181,25,160.26297
-0.1309,25,161.87197
-0.165327,25,163.346968
-0.29298,25,164.917971
-0.225363,25,166.526969
-0.234815,25,168.131971
-0.33135,25,169.75197
-0.415841,25,171.29897
-0.506603,25,172.83097
-0.113566,25,174.37697
-0.15459,25,176.046971
-0.144971,25,177.637968
-0.08976,25,179.20997
-0.378577,25,180.728969
-0.209485,25,182.41097
-0.115998,25,183.95997
-0.339562,25,185.530973
-0.193675,25,187.124971
-0.17428,25,188.680969
-0.195148,25,190.37297
-0.135256,25,192.114969
-0.119448,25,193.69697
-0.147947,25,195.58497
-0.139445,25,197.592132
-0.203665,25,199.433971
-0.388803,25,201.138728
-0.089281,25,203.072002
-0.178558,25,205.440528
-0.256624,25,207.597348
-0.073972,25,209.859457
-0.21916,25,211.772454
-0.18332,25,213.645455
-0.050749,25,215.466454
-0.106049,25,217.403455
-0.231571,25,219.280454
-0.19064,25,221.124455
-0.155644,25,222.860454
-0.244651,25,224.606458
-0.206607,25,226.278455
-0.225927,25,228.052455
-0.472459,25,229.652455
-0.140191,25,231.481458
-0.157577,25,233.263573
-0.307551,25,234.976093
