#{"t_start": 1620921288.7760344, "env_id": "seir-cd-v0"}
r,l,t
-0.201112,25,2.73574
-0.27054,25,5.142639
-0.262307,25,8.002784
-0.271392,25,9.986664
-0.397412,25,12.407626
-0.416663,25,14.875206
-0.240867,25,16.502025
-0.21519,25,19.175777
-0.312535,25,21.819457
-0.219491,25,24.421878
-0.261241,25,26.582968
-0.208663,25,29.015657
-0.229118,25,31.369469
-0.266584,25,33.748826
-0.2133,25,35.688039
-0.313859,25,38.480046
-0.253393,25,40.621295
-0.247302,25,42.93784
-0.333133,25,45.707396
-0.291916,25,48.513376
-0.387311,25,50.972387
-0.136079,25,53.510352
-0.215425,25,56.125738
-0.301124,25,58.749973
-0.29255,25,61.322562
-0.461606,25,63.944307
-0.145206,25,66.656248
-0.377712,25,69.359353
-0.250076,25,72.094039
-0.242423,25,74.734359
-0.223627,25,77.636501
-0.404482,25,80.590575
-0.206292,25,83.171885
-0.272489,25,85.607408
-0.283941,25,87.993695
-0.357112,25,90.833484
-0.23262,25,93.453141
-0.245052,25,95.869462
-0.162907,25,98.265607
-0.255576,25,100.859124
-0.266355,25,103.429598
-0.377624,25,105.862574
-0.279093,25,108.565072
-0.409891,25,111.092031
-0.412305,25,113.158919
-0.246141,25,115.142061
-0.322397,25,117.167549
-0.29818,25,119.665692
-0.333273,25,122.085894
-0.384265,25,124.050165
-0.305137,25,126.410626
-0.315772,25,129.292755
-0.329067,25,131.663732
-0.263448,25,133.673827
-0.231223,25,136.349696
-0.365853,25,138.75645
-0.365294,25,141.361305
-0.370904,25,144.083332
-0.366625,25,146.541227
-0.311776,25,148.999067
-0.238756,25,151.486682
-0.22887,25,154.056674
-0.40421,25,156.320719
