#{"t_start": 1621449738.293238, "env_id": "seir-b-v0"}
r,l,t
-0.639551,25,1.679813
-0.706311,25,3.258313
-0.565168,25,4.777238
-0.805614,25,6.225603
-1.278486,25,7.64721
-1.303904,25,9.084314
-0.680644,25,10.491275
-0.65377,25,11.927969
-0.750724,25,13.335648
-0.657572,25,14.834437
-0.711641,25,16.274674
-0.677032,25,17.78978
-0.662683,25,19.209733
-0.600229,25,20.6791
-0.821115,25,22.114514
-0.747803,25,23.629321
-0.740328,25,25.190333
-0.695636,25,26.669112
-0.638531,25,28.115398
-0.855776,25,29.568589
-1.143063,25,31.068501
-0.403144,25,32.506466
-0.618223,25,34.053186
-0.337813,25,35.605007
-0.696448,25,37.058207
-1.140954,25,38.414759
-0.245483,25,39.927931
-0.876422,25,41.476984
-0.704549,25,42.849814
-0.692898,25,44.247963
-0.704866,25,45.648792
-0.940515,25,47.048486
-0.649954,25,48.490612
-0.711462,25,49.963676
-0.652685,25,51.365362
-0.837254,25,52.76602
-0.701358,25,54.146657
-0.622384,25,55.583424
-0.598519,25,56.943436
-0.733488,25,58.446046
-0.266539,25,60.005584
-1.262704,25,61.443705
-0.716909,25,62.95619
-1.314175,25,64.36571
-1.190944,25,65.78267
-0.695813,25,67.142068
-0.689278,25,68.575294
-0.821775,25,69.981556
-1.082313,25,71.485779
-0.886096,25,72.856487
-0.878971,25,74.272863
-0.851328,25,75.812971
-0.736973,25,77.321506
-0.747558,25,78.817426
-0.686023,25,80.177928
-1.297416,25,81.676202
-0.819426,25,83.093665
-1.037734,25,84.553224
-0.808854,25,86.024901
-1.192939,25,87.631206
-0.687506,25,89.139372
-0.662311,25,90.735954
-1.225419,25,92.240443
-0.595552,25,93.882258
-0.532217,25,95.428752
-1.268207,25,96.887719
-0.534841,25,98.427775
-0.568255,25,99.893589
-1.152623,25,101.365447
-0.772214,25,102.803054
-0.776,25,104.25797
-0.667557,25,105.784282
-0.705049,25,107.287302
-1.385166,25,108.709193
-0.785766,25,110.26265
-1.238212,25,111.834616
-0.589508,25,113.351868
-0.149582,25,114.997187
-0.786647,25,116.486687
-1.275879,25,117.966363
-0.729648,25,119.434293
